Attack, Defense
0.625, 0.4444
0.5312, 0.4489
0.4062, 0.5111
0.5938, 0.4222
0.5938, 0.4222
0.5938, 0.4222
0.625, 0.4444
0.5625, 0.5333
0.5312, 0.4889
0.2812, 0.6222
0.4562, 0.4356
0.6438, 0.5689
0.5563, 0.56
0.5938, 0.4889
0.65, 0.4756
0.5312, 0.5511
0.6375, 0.52
0.4688, 0.4222
0.6562, 0.6444
0.2812, 0.6444
0.625, 0.4889
0.2812, 0.6444
0.5312, 0.52
0.7, 0.7956
0.5938, 0.5156
0.5938, 0.6444
0.6562, 0.5111

 Cluster number 2
Attack, Defense
0.3737825999121652, 0.2920702076667294
0.3563, 0.2578
0.3688, 0.2356
0.2687, 0.2667
0.3625, 0.3333
0.3438, 0.2222
0.4688, 0.3111
0.4375, 0.3556
0.3563, 0.2756
0.4188, 0.2311
0.4062, 0.3022
0.4437, 0.3111
0.4062, 0.1778
0.4688, 0.2889
0.375, 0.2889
0.4688, 0.3556
0.4062, 0.2222
0.375, 0.2444
0.4062, 0.2444
0.4062, 0.1778
0.375, 0.2667
0.4375, 0.1333
0.4062, 0.2667
0.375, 0.2667
0.3438, 0.4
0.375, 0.2222
0.4062, 0.3333
0.375, 0.4222
0.375, 0.2444
0.425, 0.2889
0.2812, 0.2889
0.2188, 0.3333
0.2812, 0.4
0.3125, 0.3111
0.375, 0.4
0.3125, 0.4889
0.375, 0.4
0.3875, 0.2444
0.4375, 0.3556
0.375, 0.2444
0.375, 0.2444
0.3438, 0.2889
0.2188, 0.4222
0.4688, 0.3778
0.3688, 0.1778
0.275, 0.2667
0.3563, 0.3333
0.3688, 0.2356
0.375, 0.2622
0.4688, 0.3333
0.4437, 0.2622
0.3312, 0.2356
0.2188, 0.3556
0.4375, 0.2889
0.3125, 0.2222
0.4375, 0.3556
0.4688, 0.4
0.2812, 0.3333
0.4375, 0.3111
0.3125, 0.2889
0.4062, 0.2222
0.4375, 0.2222
0.375, 0.1778
0.375, 0.2444
0.4375, 0.3333
0.3438, 0.2444
0.4188, 0.1911
0.4688, 0.2667
0.375, 0.3778
0.4062, 0.2889
0.2812, 0.5111
0.3125, 0.3556
0.3438, 0.2444
0.4688, 0.3778
0.4375, 0.1422
0.3688, 0.2
0.375, 0.1778
0.4062, 0.2
0.4062, 0.2489
0.4062, 0.2
0.2812, 0.2889
0.4062, 0.2889
0.4062, 0.1556
0.2812, 0.4222
0.375, 0.2667
0.3438, 0.2533
0.3438, 0.2444
0.4688, 0.3333
0.25, 0.3778
0.4125, 0.1689
0.375, 0.2667
0.4375, 0.3111
0.4062, 0.4222
0.3438, 0.3111
0.4375, 0.2444
0.425, 0.2222
0.3438, 0.1778
0.425, 0.3467
0.4062, 0.1333
0.3438, 0.2444
0.4062, 0.2
0.4062, 0.3778
0.3125, 0.2667
0.4562, 0.3022
0.4688, 0.2667
0.225, 0.32
0.3438, 0.3289
0.4062, 0.2889
0.4375, 0.1333
0.2188, 0.3778
0.3937, 0.3467
0.2812, 0.2889
0.4688, 0.3333
0.3438, 0.2889
0.4688, 0.3778
0.3688, 0.3556
0.4375, 0.2444
0.3125, 0.3333
0.4375, 0.4222
0.2812, 0.4222
0.4688, 0.3778
0.3937, 0.2622
0.4562, 0.2089
0.3812, 0.28
0.4375, 0.2
0.4062, 0.2667
0.2313, 0.5022
0.3375, 0.3556
0.25, 0.2889
0.3438, 0.2889
0.3812, 0.1733
0.4437, 0.3511
0.3438, 0.2444
0.3625, 0.1867
0.4688, 0.4
0.375, 0.1778
0.4062, 0.1778
0.4062, 0.1556
0.4188, 0.3244
0.2812, 0.3778
0.4, 0.3156
0.3563, 0.2
0.2812, 0.4
0.4437, 0.36
0.3438, 0.4667
0.4688, 0.2889
0.4688, 0.2889
0.2812, 0.32
0.4688, 0.3333
0.3438, 0.3111
0.4375, 0.4
0.3625, 0.1778
0.4375, 0.2444
0.3438, 0.1778
0.4688, 0.2667
0.3125, 0.3556
0.45, 0.2533
0.4375, 0.3556
0.325, 0.2222
0.3438, 0.36
0.375, 0.2222
0.3, 0.2889
0.3625, 0.3778
0.3125, 0.4178
0.3875, 0.3556
0.3438, 0.3111
0.4188, 0.1333
0.375, 0.3556
0.4375, 0.2889
0.3312, 0.3333
0.2812, 0.2533
0.375, 0.1556
0.25, 0.2889
0.3125, 0.4
0.375, 0.3111
0.375, 0.2667
0.3438, 0.2
0.4375, 0.2444
0.4375, 0.1778
0.3438, 0.2889
0.4375, 0.3333
0.45, 0.2444
0.2812, 0.3822
0.3125, 0.2889
0.4688, 0.4
0.3125, 0.2222
0.4375, 0.3111
0.3125, 0.3778
0.4062, 0.1556
0.2188, 0.3556
0.4062, 0.1556
0.3812, 0.3511
0.4313, 0.2
0.3125, 0.3111
0.375, 0.4444
0.375, 0.2
0.3438, 0.2667
0.4188, 0.3778
0.45, 0.32
0.35, 0.2667
0.4562, 0.4
0.3375, 0.2356
0.4, 0.2978
0.3625, 0.2089
0.3187, 0.32
0.425, 0.2222
0.3937, 0.2978
0.375, 0.28
0.375, 0.1911
0.2687, 0.3156
0.2938, 0.2444
0.4188, 0.2978
0.2687, 0.2711
0.4688, 0.36
0.2938, 0.2756
0.3438, 0.2444
0.4375, 0.3778
0.3, 0.2533
0.425, 0.3689
0.3375, 0.2
0.45, 0.2978
0.375, 0.2667
0.3312, 0.2311
0.4375, 0.2133
0.4688, 0.3822
0.4062, 0.1911
0.3812, 0.2889
0.4, 0.3556
0.4062, 0.3333

 Cluster number 3
Attack, Defense
0.7856629456706284, 0.3864214346349745
0.7812, 0.3333
0.7188, 0.5556
0.7812, 0.4889
0.7812, 0.5111
0.75, 0.4222
0.75, 0.3289
0.7812, 0.2444
0.6875, 0.4444
0.8063, 0.4
0.6562, 0.3778
0.7188, 0.3111
0.7812, 0.4222
0.75, 0.3111
0.7812, 0.3111
0.7188, 0.5111
0.6875, 0.3556
0.8063, 0.4667
0.7812, 0.3778
0.7188, 0.2889
0.6562, 0.3778
0.7812, 0.3333
0.9688, 0.4222
0.7188, 0.3556
0.75, 0.4222
0.7812, 0.2444
0.8125, 0.3333
0.8125, 0.5556
0.9062, 0.6
0.9062, 0.3778
0.9062, 0.2
0.7188, 0.2889
0.7188, 0.3289
1.0, 0.2444
0.75, 0.2089
0.7812, 0.4
0.7188, 0.2667
0.8438, 0.5556
0.7375, 0.2756
0.7812, 0.3333
0.75, 0.2667
0.75, 0.2889
0.7188, 0.5111
0.7188, 0.4222
0.9688, 0.4667
0.7188, 0.4222
0.7188, 0.5111
0.7375, 0.2667
0.6562, 0.3778
0.6875, 0.3333
0.8125, 0.5556
0.8125, 0.2444
0.8438, 0.4
0.75, 0.3111
0.7, 0.3333
0.8438, 0.2222
0.8438, 0.2667
0.8125, 0.4444
0.6875, 0.3333
0.7, 0.2889
0.8875, 0.3778
0.75, 0.2444
0.7188, 0.3778
0.7438, 0.3333
0.75, 0.4222
0.6562, 0.4
0.7375, 0.3111
0.775, 0.3778
0.7188, 0.4222
0.9062, 0.5111
0.75, 0.3778
0.7812, 0.3778
0.7188, 0.4
0.7438, 0.3244
0.725, 0.5067
0.7875, 0.4
0.7875, 0.4

 Cluster number 4
Attack, Defense
0.22165771878072763, 0.1672948104446629
0.275, 0.1956
0.2938, 0.1689
0.1562, 0.1333
0.0938, 0.2222
0.25, 0.2
0.1875, 0.1111
0.125, 0.2
0.25, 0.1556
0.3187, 0.1333
0.3438, 0.1111
0.3438, 0.1733
0.3125, 0.1556
0.2625, 0.2089
0.325, 0.1556
0.25, 0.1911
0.225, 0.1556
0.25, 0.0667
0.25, 0.1333
0.2812, 0.2222
0.3125, 0.2
0.3125, 0.0889
0.25, 0.1333
0.2938, 0.1911
0.2812, 0.1556
0.0938, 0.0444
0.1875, 0.1111
0.2812, 0.1778
0.2188, 0.1333
0.1875, 0.2889
0.25, 0.2222
0.1875, 0.1111
0.2812, 0.1778
0.2687, 0.1778
0.1562, 0.2
0.0, 0.0
0.2188, 0.2889
0.25, 0.2222
0.25, 0.2667
0.2812, 0.1333
0.0312, 0.2222
0.2687, 0.1911
0.3125, 0.2
0.2938, 0.1689
0.2562, 0.1289
0.1562, 0.1111
0.2812, 0.2
0.0938, 0.1111
0.1875, 0.2
0.3438, 0.1556
0.2062, 0.1467
0.2188, 0.0444
0.125, 0.1022
0.1562, 0.0444
0.0938, 0.2667
0.2812, 0.1778
0.2188, 0.1556
0.0938, 0.2
0.1875, 0.1556
0.25, 0.2
0.1562, 0.1111
0.25, 0.1778
0.175, 0.2356
0.2188, 0.1556
0.2812, 0.1556
0.375, 0.1333
0.3125, 0.1778
0.2188, 0.2889
0.3438, 0.1111
0.0938, 0.1333
0.1875, 0.1333
0.1562, 0.0444
0.3625, 0.1422
0.0312, 0.0222
0.25, 0.1333
0.3438, 0.1556
0.3125, 0.1333
0.1562, 0.16
0.25, 0.1333
0.1875, 0.2222
0.1875, 0.2222
0.1562, 0.1111
0.2812, 0.2
0.2188, 0.2
0.3125, 0.1111
0.1562, 0.1111
0.125, 0.0889
0.1875, 0.1333
0.1562, 0.12
0.2188, 0.2444
0.2875, 0.08
0.3438, 0.1111
0.0938, 0.1556
0.25, 0.1778
0.2188, 0.2222
0.25, 0.1556
0.2812, 0.1556
0.2188, 0.2
0.2625, 0.2222
0.2375, 0.2133
0.3438, 0.1556
0.125, 0.1333
0.25, 0.2667
0.2188, 0.2444
0.2687, 0.1689
0.2188, 0.2222
0.0625, 0.0667
0.1125, 0.1911
0.2812, 0.2
0.2188, 0.2
0.1562, 0.2222
0.3312, 0.1733
0.2875, 0.2133
0.3125, 0.1111
0.25, 0.1556
0.125, 0.16
0.375, 0.1289
0.1562, 0.1333
0.15, 0.1778
0.1562, 0.1644
0.375, 0.1333
0.1875, 0.1778
0.2687, 0.1911
0.2812, 0.1289
0.3125, 0.1644
0.1562, 0.2
0.1187, 0.36
0.125, 0.1778
0.0, 0.0
0.35, 0.1556
0.275, 0.2267
0.0938, 0.2
0.25, 0.2222
0.3125, 0.1778
0.3125, 0.1511
0.2812, 0.1422
0.3, 0.1911
0.3, 0.1911
0.3, 0.1911
0.125, 0.1778
0.3125, 0.2
0.3438, 0.12
0.25, 0.1689
0.2812, 0.1556
0.25, 0.24
0.1375, 0.2444
0.1875, 0.2
0.1562, 0.3556
0.2812, 0.1556
0.1562, 0.2
0.1562, 0.1556
0.2188, 0.2
0.2437, 0.2
0.2812, 0.2
0.3125, 0.1778
0.2188, 0.2
0.2625, 0.2
0.3125, 0.1556
0.1562, 0.2222
0.2188, 0.2444
0.2812, 0.1111
0.25, 0.1556
0.3187, 0.1556
0.1938, 0.1467
0.2812, 0.1689
0.1875, 0.1556
0.1062, 0.2444
0.2938, 0.2
0.2812, 0.2356
0.2062, 0.1511
0.25, 0.1867
0.2687, 0.2178
0.3063, 0.2133
0.2062, 0.1244
0.3125, 0.2089
0.2812, 0.1333
0.1562, 0.1333

 Cluster number 5
Attack, Defense
